address,ghidra_name,friendly_name,category,signature,calling_convention,size,status,confidence,danger_level,description,evidence,source,test_notes,hit_count,last_test
0x0076B060,FUN_0076b060,,Unknown,undefined FUN_0076b060(void),,85,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076B0C0,FUN_0076b0c0,,Unknown,undefined FUN_0076b0c0(void),,66,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076B110,FUN_0076b110,,Unknown,undefined FUN_0076b110(void),,64,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076B150,FUN_0076b150,,Unknown,undefined FUN_0076b150(void),,156,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076B1F0,FUN_0076b1f0,,Unknown,undefined FUN_0076b1f0(int param_1),,234,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076B2E0,FUN_0076b2e0,,Unknown,undefined FUN_0076b2e0(void),,123,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076B360,FUN_0076b360,,Unknown,char * FUN_0076b360(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076B370,FUN_0076b370,,Unknown,"undefined1 * FUN_0076b370(void * this\, undefined4 * param_1\, int param_2)",,6175,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076CB90,FUN_0076cb90,,Unknown,char * FUN_0076cb90(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076CBA0,FUN_0076cba0,,Unknown,"undefined1 * FUN_0076cba0(void * this\, undefined4 * param_1\, int param_2)",,895,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076CF20,FUN_0076cf20,,Unknown,char * FUN_0076cf20(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076CF30,FUN_0076cf30,,Unknown,"undefined4 FUN_0076cf30(void * this\, undefined4 * param_1\, int param_2)",,804,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076D260,FUN_0076d260,,Unknown,char * FUN_0076d260(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076D270,FUN_0076d270,,Unknown,char * FUN_0076d270(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076D280,FUN_0076d280,,Unknown,"undefined1 * FUN_0076d280(void * this\, undefined4 * param_1\, int param_2)",,1652,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076D900,FUN_0076d900,,Unknown,char * FUN_0076d900(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076D910,FUN_0076d910,,Unknown,"undefined4 FUN_0076d910(void * this\, undefined4 * param_1\, int param_2)",,1107,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076DD70,FUN_0076dd70,,Unknown,char * FUN_0076dd70(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076DD80,FUN_0076dd80,,Unknown,"bool FUN_0076dd80(void * this\, undefined4 * param_1)",,325,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076DED0,FUN_0076ded0,,Unknown,char * FUN_0076ded0(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076DEE0,FUN_0076dee0,,Unknown,char * FUN_0076dee0(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076DEF0,FUN_0076def0,,Unknown,char * FUN_0076def0(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
